Posicion;Nombre;Puntos;W;L;D
1;Aldo Giménez;12;4;0;0
2;Rodolfo Riego Macchi;9;3;1;0
3;Walter Fisch;9;3;1;0
4;Alejandro Vazquez;9;3;1;0
5;Blas Ledesma;9;3;1;0
6;Martin Caceres;9;3;1;0
7;Enzo Cassanello;9;3;1;0
8;Katia Lopez;6;2;2;0
9;Remigio Gonzalez;6;2;2;0
10;Jannick Kravetz;6;2;2;0
11;Guillermo Benitez;6;2;2;0
12;Roberto Casco;6;2;2;0
13;Mauricio Sosa Salcedo;6;2;2;0
14;Justo Cabañas;3;1;3;0
15;Marcelo Galeano;3;1;3;0
16;Zunú Cantero;3;1;3;0
17;Andrés Lonzayes;3;1;3;0
18;William Kennedy;3;1;3;0
19;Gabriela Céspedes;3;1;3;0
20;Yury Shmyrov;0;0;4;0
